@relation '264019L1 2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lz?y-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R4-precision6'

@attribute 'okres w jakim bêdzie pobiera³ dochód' numeric
@attribute 'okres w jakim pobiera³ dochód' numeric
@attribute p³eæ {kobieta,mê¿czyzna}
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute 'kwota kredytu' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'rodzaj Ÿród³a dochodu' numeric
@attribute 'status pozyczki' {dobry,z?y}

@data
48,244,kobieta,'\'(67.6-inf)\'',200,1,1026,13,dobry
48,5,mê¿czyzna,'\'(55.2-67.6]\'',200,0,907,13,dobry
9,2,kobieta,'\'(30.4-42.8]\'',200,1,1032.34,12,dobry
48,96,mê¿czyzna,'\'(42.8-55.2]\'',1569.98,1,2353,11,dobry
48,180,kobieta,'\'(30.4-42.8]\'',200,0,540,16,z?y
48,135,kobieta,'\'(55.2-67.6]\'',600,0,3251,13,dobry
48,33,kobieta,'\'(55.2-67.6]\'',521.49,1,1525.46,13,dobry
48,6,mê¿czyzna,'\'(-inf-30.4]\'',200,1,1136.8,11,z?y
48,24,kobieta,'\'(55.2-67.6]\'',800,1,3700,13,dobry
48,98,mê¿czyzna,'\'(55.2-67.6]\'',200,1,1538,13,dobry
48,194,mê¿czyzna,'\'(67.6-inf)\'',200,0,957.2,13,dobry
48,6,mê¿czyzna,'\'(-inf-30.4]\'',300,1,1459,11,dobry
48,90,kobieta,'\'(42.8-55.2]\'',500,1,3000,11,dobry
48,157,kobieta,'\'(67.6-inf)\'',300,1,2100,13,dobry
48,114,kobieta,'\'(42.8-55.2]\'',200,1,1400,11,dobry
48,116,kobieta,'\'(67.6-inf)\'',600,1,2120,13,dobry
48,6,kobieta,'\'(30.4-42.8]\'',300,1,1027,12,dobry
48,35,kobieta,'\'(55.2-67.6]\'',700,1,1801.41,13,dobry
5,54,mê¿czyzna,'\'(30.4-42.8]\'',300,1,1017,12,z?y
48,6,mê¿czyzna,'\'(42.8-55.2]\'',200,1,1030,12,dobry
48,6,mê¿czyzna,'\'(55.2-67.6]\'',400,0,1193.65,13,dobry
23,32,kobieta,'\'(42.8-55.2]\'',200,2,2000,12,dobry
48,48,mê¿czyzna,'\'(42.8-55.2]\'',800,0,2000,11,dobry
48,155,kobieta,'\'(67.6-inf)\'',200,1,803.86,13,dobry
48,201,kobieta,'\'(67.6-inf)\'',400,1,1412,13,dobry
48,81,kobieta,'\'(30.4-42.8]\'',600,0,5000,98,dobry
48,58,kobieta,'\'(30.4-42.8]\'',275.97,1,1000,11,dobry
48,196,mê¿czyzna,'\'(42.8-55.2]\'',200,0,1045,16,dobry
2,31,mê¿czyzna,'\'(-inf-30.4]\'',500,1,1896,17,dobry
48,187,kobieta,'\'(30.4-42.8]\'',300,1,1200,11,dobry
5,30,mê¿czyzna,'\'(30.4-42.8]\'',900,0,1500,12,dobry
48,76,kobieta,'\'(55.2-67.6]\'',200,1,1425,13,dobry
48,60,kobieta,'\'(42.8-55.2]\'',200,1,2300,16,dobry
48,57,kobieta,'\'(42.8-55.2]\'',400,1,2800,11,dobry
0,11,kobieta,'\'(30.4-42.8]\'',498.47,1,1600,12,dobry
48,66,mê¿czyzna,'\'(55.2-67.6]\'',200,0,1674.77,13,z?y
48,168,mê¿czyzna,'\'(42.8-55.2]\'',300,0,995,13,z?y
48,208,mê¿czyzna,'\'(42.8-55.2]\'',500,0,2011,11,dobry
7,28,mê¿czyzna,'\'(42.8-55.2]\'',450,0,1574.45,12,dobry
48,19,kobieta,'\'(42.8-55.2]\'',200,0,634.64,16,z?y
48,33,mê¿czyzna,'\'(30.4-42.8]\'',400,1,1261.98,11,dobry
48,158,kobieta,'\'(55.2-67.6]\'',400,0,1149.06,13,dobry
48,25,mê¿czyzna,'\'(55.2-67.6]\'',400,1,1313.41,16,dobry
48,19,kobieta,'\'(55.2-67.6]\'',200,1,1200.29,13,dobry
48,42,mê¿czyzna,'\'(30.4-42.8]\'',326.61,1,1300,11,dobry
48,87,kobieta,'\'(55.2-67.6]\'',200,0,985.9,13,dobry
29,9,kobieta,'\'(30.4-42.8]\'',400,1,660,12,dobry
17,3,mê¿czyzna,'\'(-inf-30.4]\'',300,0,540.62,17,z?y
48,131,kobieta,'\'(55.2-67.6]\'',200,0,755.1,16,dobry
48,115,mê¿czyzna,'\'(67.6-inf)\'',300,0,1079.14,13,z?y
48,73,mê¿czyzna,'\'(55.2-67.6]\'',381.29,1,1591,13,dobry
48,218,mê¿czyzna,'\'(55.2-67.6]\'',200,1,1162,13,dobry
48,265,mê¿czyzna,'\'(42.8-55.2]\'',400,1,1600,11,z?y
17,6,mê¿czyzna,'\'(30.4-42.8]\'',250,1,700,12,dobry
48,103,mê¿czyzna,'\'(55.2-67.6]\'',400,1,1250,11,z?y
48,238,kobieta,'\'(55.2-67.6]\'',500,1,2249.14,11,dobry
48,132,kobieta,'\'(67.6-inf)\'',400,0,1517,13,z?y
48,110,kobieta,'\'(55.2-67.6]\'',400,1,1013.74,13,dobry
48,82,kobieta,'\'(55.2-67.6]\'',400,0,1500,11,dobry
5,6,kobieta,'\'(42.8-55.2]\'',600,1,1675,12,dobry
48,25,kobieta,'\'(55.2-67.6]\'',700,1,5100,13,dobry
48,238,kobieta,'\'(30.4-42.8]\'',1000,0,3500,11,z?y
48,82,kobieta,'\'(42.8-55.2]\'',200,0,1617.68,11,dobry
48,60,kobieta,'\'(42.8-55.2]\'',1000,2,2300,16,dobry
48,302,kobieta,'\'(42.8-55.2]\'',300,0,601.03,13,z?y
48,120,kobieta,'\'(55.2-67.6]\'',400,0,1233,13,dobry
48,258,mê¿czyzna,'\'(67.6-inf)\'',400,0,940.49,13,z?y
48,266,mê¿czyzna,'\'(55.2-67.6]\'',500,1,1768.93,13,dobry
48,282,kobieta,'\'(42.8-55.2]\'',400,1,3170,11,dobry
48,31,mê¿czyzna,'\'(-inf-30.4]\'',300,0,1037.34,11,z?y
48,201,kobieta,'\'(30.4-42.8]\'',400,1,1239.05,11,dobry
20,6,kobieta,'\'(42.8-55.2]\'',396.61,1,2000,12,dobry
48,154,mê¿czyzna,'\'(42.8-55.2]\'',300,1,814.83,13,z?y
48,136,kobieta,'\'(55.2-67.6]\'',200,0,832.92,13,z?y
48,159,kobieta,'\'(67.6-inf)\'',500,1,951,13,dobry
5,19,kobieta,'\'(42.8-55.2]\'',281.29,1,1350,12,dobry
48,56,kobieta,'\'(30.4-42.8]\'',650,1,1065,11,z?y
48,132,mê¿czyzna,'\'(55.2-67.6]\'',650,0,2600,11,z?y
48,123,mê¿czyzna,'\'(42.8-55.2]\'',600,1,1800,11,dobry
48,33,mê¿czyzna,'\'(-inf-30.4]\'',200,0,1037,11,z?y
48,108,mê¿czyzna,'\'(55.2-67.6]\'',250,1,633.56,16,dobry
2,1,kobieta,'\'(30.4-42.8]\'',200,0,1037,12,z?y
48,160,mê¿czyzna,'\'(67.6-inf)\'',200,1,910.33,13,dobry
48,54,kobieta,'\'(55.2-67.6]\'',200,1,856,13,dobry
1,6,kobieta,'\'(42.8-55.2]\'',371.94,1,1500,12,dobry
48,7,kobieta,'\'(-inf-30.4]\'',700,1,1300,11,z?y
