status pozyczki,rodzaj Ÿród³a dochodu,miesieczny dochod netto,ktore rolowanie,kwota kredytu,wiek,p³eæ,okres w jakim pobiera³ dochód,okres w jakim bêdzie pobiera³ dochód,opóŸnienie sp³aty
splacona_cz,17,547.89,0,200,56,kobieta,53,5,0
odmowa,17,443.65,0,600,22,mê¿czyzna,10,25,0
odmowa,11,3000,0,700,45,mê¿czyzna,1,48,0
splacona,16,1411,1,400,60,kobieta,63,48,17
splacona_cz,12,1800,1,700,28,mê¿czyzna,8,0,0
splacona_cz,13,1210,0,300,65,kobieta,135,48,6
splacona_cz,12,1447,2,500,29,kobieta,19,5,5
odmowa,11,1515.11,0,300,32,kobieta,11,48,0
splacona_cz,12,1037.34,0,300,30,mê¿czyzna,17,7,0
splacona_cz,13,785,1,200,72,kobieta,61,48,0
splacona,99,980,2,449.7,23,mê¿czyzna,9,1,384
splacona_cz,11,1320,1,500,53,mê¿czyzna,339,48,3
splacona_cz,16,959.6,1,200,69,kobieta,112,48,0
splacona_cz,11,1700,1,600,47,kobieta,86,48,0
splacona_cz,13,3900,2,300,49,mê¿czyzna,27,48,3
splacona,13,720.19,0,200,67,kobieta,90,48,0
splacona_cz,99,750,1,300,19,mê¿czyzna,1,4,0
windykacja_sp,13,1425,1,500,56,kobieta,17,48,465
splacona_cz,11,1077.49,1,300,48,kobieta,369,48,3
windykacja,99,2800,2,200,38,kobieta,7,0,4989
splacona_cz,11,4000,2,600,53,mê¿czyzna,7,48,0
splacona_cz,13,2010,0,700,64,mê¿czyzna,135,48,0
splacona_cz,11,2258,2,1000,42,mê¿czyzna,72,48,3
splacona_cz,17,985,2,200,20,mê¿czyzna,10,1,0
splacona_cz,13,1668,2,392.14,63,kobieta,88,48,9
windykacja_sp,11,1050,1,441.91,52,kobieta,15,48,422
splacona_cz,13,1672.59,0,200,62,mê¿czyzna,19,48,0
splacona_cz,13,12220,0,200,57,mê¿czyzna,68,48,0
splacona_cz,16,588,2,600,55,mê¿czyzna,419,48,2
splacona_cz,13,611,0,300,57,kobieta,136,48,0
